train_or_test,model_id,algorithm,run,file_id,project_name,G,precision,fn,accuracy,fp,balance,fpr,f1,fnr,MCC,tpr,tnr,tn,tp
train,model109,ibea,3,Eclipse_all,Eclipse,0.6294526718964194,0.14532968050053682,620.0,0.474960446145042,46171.0,0.5371963348759539,0.5725002479912707,0.25126014113580725,0.07319088655412584,0.2126795995464104,0.9268091134458741,0.4274997520087293,34477.0,7851.0
test,model11,ibea,3,Eclipse_all,Eclipse,0.7280312367274996,0.3434292726461401,2643.0,0.7486704678209621,11771.0,0.43930937237059825,0.24244608761920455,0.46071535468422625,0.3003409090909091,0.3554825136218895,0.699659090909091,0.7575539123807955,36780.0,6157.0
train,model11,ibea,3,Eclipse_all,Eclipse,0.7137100236023797,0.3625018794166291,3649.0,0.8639010760892739,8480.0,0.4708563063539835,0.10514829877988295,0.44293390896982504,0.43076378231613743,0.3819641780184292,0.5692362176838626,0.894851701220117,72168.0,4822.0
test,model110,ibea,3,Eclipse_all,Eclipse,0.7131878513593798,0.44903124454529586,3655.0,0.8261930916636153,6313.0,0.4664862296696263,0.1300282177504068,0.5079474775397373,0.4153409090909091,0.4097997765709707,0.584659090909091,0.8699717822495933,42238.0,5145.0
train,model110,ibea,3,Eclipse_all,Eclipse,0.6243199426215885,0.6895491803278688,5106.0,0.925706078389569,1515.0,0.5491152069938653,0.018785338756075787,0.5040820912291214,0.6027623657183331,0.4878752346908843,0.39723763428166686,0.9812146612439242,79133.0,3365.0
test,model111,ibea,3,Eclipse_all,Eclipse,0.7241091477212676,0.38500169664065154,3127.0,0.7874666527174766,9062.0,0.44798377709708065,0.18664909064694857,0.48209050350541743,0.3553409090909091,0.37779305882203446,0.6446590909090909,0.8133509093530514,39489.0,5673.0
train,model111,ibea,3,Eclipse_all,Eclipse,0.6820958133996426,0.45634231103388356,4269.0,0.8959256724155343,5006.0,0.5038665517418056,0.062072215058029956,0.4753662537473839,0.5039546688702633,0.4181585972592883,0.49604533112973676,0.93792778494197,75642.0,4202.0
test,model112,ibea,3,Eclipse_all,Eclipse,0.7251992677818133,0.31724810929495,2298.0,0.7159421806071385,13993.0,0.44097605774335447,0.2882123952132809,0.4438982761563407,0.2611363636363636,0.3389244784076319,0.7388636363636364,0.7117876047867191,34558.0,6502.0
train,model112,ibea,3,Eclipse_all,Eclipse,0.7222220280917668,0.3282625582599689,3400.0,0.8454089475869343,10377.0,0.45906945048233716,0.12867027080646762,0.4240143818721518,0.4013693778774643,0.3641169939540365,0.5986306221225357,0.8713297291935324,70271.0,5071.0
test,model113,ibea,3,Eclipse_all,Eclipse,0.7270525704531439,0.38037457135320496,3032.0,0.7832993321825251,9396.0,0.4445092598295023,0.19352845461473503,0.48138874979135376,0.34454545454545454,0.37749978578441135,0.6554545454545454,0.806471545385265,39155.0,5768.0
train,model113,ibea,3,Eclipse_all,Eclipse,0.6875047096183707,0.4422462648119526,4179.0,0.8923686307072566,5413.0,0.4989364162296969,0.06711883741692293,0.4722711267605634,0.4933301853382127,0.4138348740482071,0.5066698146617873,0.9328811625830771,75235.0,4292.0
test,model114,ibea,3,Eclipse_all,Eclipse,0.5513377460005289,0.1984375,799.0,0.42253840386392566,32319.0,0.579583782786611,0.6656711499248213,0.32577361563517915,0.09079545454545454,0.1920961291598723,0.9092045454545454,0.33432885007517865,16232.0,8001.0
train,model114,ibea,3,Eclipse_all,Eclipse,0.6990864906694182,0.17265358862915542,1122.0,0.592253054904117,35216.0,0.47765532635457403,0.436663029461363,0.28799278940355827,0.13245189469956323,0.2530001471948432,0.8675481053004368,0.5633369705386371,45432.0,7349.0
test,model115,ibea,3,Eclipse_all,Eclipse,0.7115729559423417,0.4531569132403872,3697.0,0.8281634147617304,6158.0,0.4684242335502426,0.1268356985437993,0.5087483176312247,0.42011363636363636,0.41105067414085644,0.5798863636363636,0.8731643014562007,42393.0,5103.0
train,model115,ibea,3,Eclipse_all,Eclipse,0.62438508446862,0.6886252045826514,5105.0,0.9256387526790022,1522.0,0.5490627191435924,0.01887213570082333,0.503929934875365,0.6026443159013104,0.48753923491670964,0.39735568409868965,0.9811278642991766,79126.0,3366.0
test,model116,ibea,3,Eclipse_all,Eclipse,0.6715965297497175,0.24748558401501944,1418.0,0.5838956600582379,22446.0,0.4947699286164165,0.4623179749129781,0.38220979600289945,0.16113636363636363,0.27164275195621973,0.8388636363636364,0.5376820250870219,26105.0,7382.0
train,model116,ibea,3,Eclipse_all,Eclipse,0.7364817999578435,0.25917287162465236,2693.0,0.784456737620485,16516.0,0.4348333340007856,0.2047911913500645,0.37562164797659675,0.31790815724235627,0.32321587750733977,0.6820918427576437,0.7952088086499355,64132.0,5778.0
test,model117,ibea,3,Eclipse_all,Eclipse,0.7249719846103538,0.37546419962212524,3037.0,0.7798992171017071,9586.0,0.445870607565652,0.19744186525509258,0.4772868441757423,0.34511363636363634,0.37239496996810584,0.6548863636363637,0.8025581347449074,38965.0,5763.0
